Date,Session,Total,Mean,Std,Num_Points,People
2024-05-01,1.0,4802.0,154.90322580645162,99.37583704929138,31.0,2
2024-05-01,2.0,585.0,83.57142857142857,52.32544678215735,7.0,1
2024-05-01,3.0,1896.0,145.84615384615384,104.85056521374133,13.0,2
2024-05-01,4.0,1371.0,65.28571428571429,53.47536148278275,22.0,1
2024-05-01,5.0,1268.0,57.63636363636363,43.52617762367997,22.0,1
2024-05-02,1.0,3452.0,73.44680851063829,54.84674637040064,47.0,1
2024-05-02,2.0,7256.0,103.65714285714286,70.35188690943852,71.0,2
2024-05-03,1.0,615.0,87.85714285714286,61.088538399682825,7.0,1
2024-05-03,2.0,233.0,33.285714285714285,27.451255500822334,7.0,1
2024-05-03,3.0,570.0,63.333333333333336,42.93891009329417,9.0,1
2024-05-03,4.0,2578.0,184.14285714285714,66.25342620209527,14.0,3
2024-05-03,5.0,1745.0,158.63636363636363,82.36658634090978,11.0,2
2024-05-03,6.0,1535.0,219.28571428571428,116.30952137252032,7.0,3
2024-05-03,7.0,2285.0,120.26315789473684,96.50264366284547,19.0,2
2024-05-04,1.0,2458.0,81.93333333333334,66.6601950881889,30.0,1
2024-05-05,1.0,220.0,31.428571428571427,27.32433068931511,7.0,1
2024-05-05,2.0,438.0,36.5,35.07005975057771,12.0,1
2024-05-05,3.0,105.0,17.5,14.963288408635316,6.0,1
2024-05-05,4.0,1062.0,40.84615384615385,30.279619954936432,26.0,1
2024-05-05,5.0,156.0,26.0,13.206059215375342,7.0,1
2024-05-05,6.0,191.0,17.363636363636363,10.62330200335778,11.0,1
2024-05-05,7.0,4361.0,335.46153846153845,151.32229147563123,13.0,4
2024-05-05,8.0,1032.0,64.5,62.33351158619789,16.0,1
2024-05-06,1.0,3618.0,301.5,109.17417276993676,12.0,4
2024-05-06,2.0,741.0,105.85714285714286,58.66693722881334,7.0,2
2024-05-06,3.0,1267.0,90.5,74.03507484761738,14.0,2
2024-05-06,4.0,1384.0,92.26666666666667,49.0618657071525,15.0,1
2024-05-06,5.0,2204.0,129.64705882352942,52.6829445556987,17.0,2
2024-05-06,6.0,1233.0,112.0909090909091,172.5366364256905,11.0,1
2024-05-06,7.0,1093.0,54.65,38.14553157248393,20.0,1
2024-05-07,1.0,2187.0,68.34375,47.50796834691642,33.0,1
2024-05-07,2.0,905.0,45.25,41.947178563923515,20.0,1
2024-05-07,3.0,1698.0,80.85714285714286,72.01339161175906,21.0,1
2024-05-07,4.0,2615.0,79.24242424242425,77.70618954716151,34.0,1
2024-05-08,1.0,3512.0,65.03703703703704,56.1016472912432,54.0,1
2024-05-08,2.0,1000.0,142.85714285714286,68.99861972394466,7.0,2
2024-05-13,1.0,789.0,131.5,108.088389755792,6.0,2
2024-05-13,2.0,1800.0,105.88235294117646,65.59523834942325,17.0,2
2024-05-13,3.0,1110.0,74.0,49.52632777480219,15.0,1
2024-05-13,4.0,6770.0,173.5897435897436,99.53568996218549,39.0,3
2024-05-13,5.0,1225.0,111.36363636363636,85.2294230031774,12.0,1
2024-05-13,6.0,5949.0,132.2,87.69953871548636,45.0,2
2024-05-13,7.0,1944.0,216.0,149.03355326905415,9.0,3
2024-05-16,1.0,7376.0,273.18518518518516,73.75689643741643,28.0,4
2024-05-16,2.0,960.0,64.0,57.56735185849702,15.0,1
2024-05-16,3.0,2697.0,224.75,78.41744356038046,12.0,3
2024-05-16,4.0,10081.0,120.01190476190476,87.31351819150785,85.0,2
2024-05-17,1.0,1672.0,111.46666666666667,51.59161984368429,15.0,2
2024-05-17,2.0,1078.0,46.869565217391305,32.801474949966504,23.0,1
2024-05-17,3.0,455.0,50.55555555555556,42.305765301880285,9.0,1
2024-05-17,4.0,1487.0,123.91666666666667,94.45581779409628,12.0,2
2024-05-17,5.0,2621.0,238.27272727272728,146.26215567199256,11.0,4
2024-05-18,1.0,400.0,23.529411764705884,19.313588632938025,17.0,1
2024-05-18,2.0,677.0,61.54545454545455,81.10901754597158,11.0,1
2024-05-18,3.0,655.0,46.785714285714285,60.76838572232032,14.0,1
2024-05-18,4.0,739.0,123.16666666666667,76.76044988577559,6.0,2
2024-05-19,1.0,2768.0,346.0,66.05192762408333,8.0,4
2024-05-19,2.0,2331.0,211.9090909090909,89.17898244032004,11.0,4
2024-05-19,3.0,6203.0,159.05128205128204,76.3557976008401,39.0,2
2024-05-19,4.0,13186.0,209.3015873015873,116.17154097679736,64.0,3
2024-05-20,1.0,6906.0,146.93617021276594,84.98833788419576,48.0,2
2024-05-20,2.0,16451.0,322.5686274509804,121.11965239414467,51.0,4
2024-05-20,3.0,8042.0,382.95238095238096,79.57039411142577,21.0,4
2024-05-20,4.0,2760.0,250.9090909090909,84.97347179614887,11.0,4
2024-05-20,5.0,4183.0,232.38888888888889,139.6420376992919,18.0,4
2024-05-21,1.0,125.0,17.857142857142858,13.49603116263656,7.0,1
2024-05-21,2.0,3462.0,216.375,81.47054682521777,16.0,3
2024-05-21,3.0,6249.0,96.13846153846154,54.65084540833887,66.0,2
2024-05-21,4.0,2801.0,147.42105263157896,78.27041145887455,19.0,2
2024-05-22,1.0,9269.0,110.3452380952381,71.02426092330467,85.0,2
2024-05-22,2.0,2630.0,202.30769230769232,96.99861220260199,13.0,3
2024-05-22,3.0,6074.0,319.6842105263158,131.29020130635922,19.0,4
2024-05-23,1.0,5885.0,217.96296296296296,83.87191768106042,28.0,3
2024-05-23,2.0,6206.0,295.5238095238095,95.3921480246771,21.0,4
2024-05-23,3.0,9479.0,225.6904761904762,122.6890752079315,43.0,3
