Date,Session,Total,Mean,Std,Num_Points,People
2024-05-01,1.0,1406.0,42.60606060606061,42.64602809314382,33.0,1
2024-05-01,2.0,186.0,31.0,21.194338866782328,6.0,1
2024-05-01,3.0,286.0,35.75,36.1968822651107,8.0,1
2024-05-01,4.0,170.0,28.333333333333332,19.89639833403691,7.0,1
2024-05-01,5.0,8740.0,349.6,97.86385100400113,25.0,4
2024-05-01,6.0,7194.0,312.7826086956522,121.41063175017369,23.0,4
2024-05-02,1.0,913.0,76.08333333333333,43.462540471564985,12.0,1
2024-05-02,2.0,2509.0,125.45,76.83370628215609,20.0,2
2024-05-02,3.0,603.0,100.5,64.4724747469802,6.0,2
2024-05-02,4.0,514.0,73.42857142857143,63.3399745891359,7.0,1
2024-05-04,1.0,5309.0,196.62962962962962,92.37763138675281,27.0,3
2024-05-04,2.0,1327.0,94.78571428571429,83.6615696826102,14.0,1
2024-05-04,3.0,2687.0,86.6774193548387,58.295446990180515,31.0,1
2024-05-04,4.0,6652.0,246.37037037037038,85.46350914870858,27.0,4
2024-05-04,5.0,2045.0,113.61111111111111,122.32124479461685,18.0,2
2024-05-05,1.0,4376.0,198.9090909090909,74.97612895728821,22.0,3
2024-05-05,2.0,1412.0,100.85714285714286,71.0751034446685,15.0,1
2024-05-05,3.0,2580.0,122.85714285714286,97.72271266920792,21.0,2
2024-05-05,4.0,470.0,78.33333333333333,89.15305192009227,6.0,1
2024-05-05,5.0,166.0,27.666666666666668,32.72715488194271,6.0,1
2024-05-05,6.0,176.0,25.142857142857142,19.038807485664393,7.0,1
2024-05-06,1.0,3431.0,87.97435897435898,70.3818484297909,39.0,1
2024-05-06,2.0,2691.0,192.21428571428572,91.20490756990638,14.0,4
2024-05-06,3.0,3659.0,228.6875,99.91577703245869,16.0,4
2024-05-06,4.0,251.0,50.2,30.38420642373271,6.0,1
2024-05-06,5.0,6254.0,120.26923076923077,75.61100536780353,52.0,2
2024-05-07,1.0,6387.0,228.10714285714286,85.9902403099993,29.0,3
2024-05-07,2.0,1131.0,141.375,161.68835765137823,8.0,2
2024-05-07,3.0,1511.0,125.91666666666667,91.72930366853959,12.0,2
2024-05-07,4.0,3247.0,154.61904761904762,75.16812901122135,21.0,3
